id;name;branch;branch_code;city;contact_no;ifc_code;account;account_type;last_modified;last_modified_by
1;Tonga envisioneer;disintermediate;even-keeled Intelligent;48746;5437;primary;36095806;lavender Data;2022-01-01T20:56:48;eco-centric
2;6th New Utah;Nebraska;protocol Reverse-engineered;13503;41978;French Berkshire;24515006;Indiana CSS Licensed;2022-01-02T12:54:43;model wireless reinvent
3;Israel Industrial transparent;driver Cambridgeshire;Avon Incredible;59027;52562;upward-trending Martinique;30898399;Bedfordshire Account Sudan;2022-01-02T07:21:09;Harbors leverage Cameroon
4;application invoice Avon;Assistant connecting;Peso incubate;29072;94667;card;21919290;JBOD;2022-01-02T05:39:55;Assistant
5;lime yellow;XML;Berkshire protocol;81651;70070;Buckinghamshire Interface Games;86968539;Sleek Optimization connecting;2022-01-01T20:39:16;Tools Hawaii facilitate
6;Horizontal;cohesive bleeding-edge bandwidth;Designer New;28904;43010;Berkshire;17351068;Unions Points;2022-01-01T18:25:09;SMS Bhutan
7;parse Internal;Grocery Highway;mindshare;1637;61076;Cocos e-business backing;13093549;Computer uniform orange;2022-01-02T06:07:02;Applications
8;digital Monitored;calculate Bedfordshire generate;Incredible Account;950;19138;impactful;43262269;solution;2022-01-01T22:54:30;zero Senior Communications
9;Wyoming Phased Awesome;SSL copy complexity;monitor Chief;23273;33395;neural Incredible proactive;28499882;Computers;2022-01-01T22:42:21;Macedonia Plastic web
10;Cotton;Product;Architect Supervisor backing;71844;25412;Fish;54080866;parse Manager;2022-01-02T05:54:53;compressing Account
