id;policy_amount;policy_number;term;ppt;comm_date;proposer_name;sum_assured_amount;premium_mode;basic_premium;extra_premium;gst;status;total_premiun;gst_first_year;net_premium;tax_beneficiary;policy_received;previous_policy;policy_start_date;policy_end_date;period;claim_done;free_heath_checkup;zone;no_of_year;floater_sum;tpa;payment_date;policy_type;pa_to_owner;pa_to_other;loading;risk_covered_from;risk_covered_to;notes;free_field_1;free_field_2;free_field_3;free_field_4;free_field_5;maturity_date;uin_no;last_modified;last_modified_by
1;70505;Senior Avon ADP;16862;12130;2021-12-08T13:12:24;Outdoors Bedfordshire generate;63381;SSS;40021;65317;bus Generic B2C;SUSPENDED;International;Congolese out-of-the-box Extended;Frozen white encompassing;Territory;true;8881;2021-12-07T15:50:46;2021-12-08T02:25:21;Baby Harbors;false;true;C;79266;Gloves Road Up-sized;communities Executive;2021-12-08T03:21:45;HEATH;Springs;SMS;72237;2021-12-08T00:08:23;2021-12-08T02:53:46;Avon generating payment;Georgia;Pants function;Bermuda;Home;European XSS;2021-12-08T10:48:52;Bike Total;2021-12-08T06:42:22;Refined driver parsing
2;41353;Soft Soap Fresh;37528;58131;2021-12-08T08:38:04;paradigms;19576;YEARLY;93353;78181;context-sensitive Clothing;CLOSED;Cove Small Riel;Sports Suriname XML;Implementation Branding;integrated solution-oriented Borders;true;6117;2021-12-07T21:11:38;2021-12-07T16:26:46;Nebraska Platinum;true;true;B;65851;metrics invoice Sleek;explicit deposit;2021-12-07T22:59:52;OTHER;Health Savings Tuna;Sharable Vermont Automotive;17931;2021-12-07T22:45:25;2021-12-08T13:54:59;Fish metrics reintermediate;Handcrafted;Officer Home;infomediaries Handcrafted;Communications Automotive;Personal;2021-12-07T19:46:31;bluetooth empowering calculating;2021-12-08T05:17:22;CSS Gorgeous
3;14273;Pants content Pennsylvania;38036;58558;2021-12-07T23:04:25;Re-engineered communities;1661;QLY;21686;58523;synergize Account;CANCELLED;California Metal;Ways Berkshire SMS;Jamaica;virtual primary;true;81660;2021-12-08T00:23:33;2021-12-08T11:27:20;communities asymmetric Chicken;true;true;B;62853;turquoise;Turnpike Soft loyalty;2021-12-07T18:29:50;HEATH;compressing Real Riel;Sausages Oklahoma;64715;2021-12-08T09:48:18;2021-12-08T12:09:04;e-services rich Fresh;Concrete;Account Up-sized Versatile;Platinum Forest interactive;Strategist Personal yellow;connecting withdrawal Towels;2021-12-08T10:03:57;Highway disintermediate;2021-12-08T08:02:12;capacitor black Chair
4;3808;Ergonomic Club hack;27147;89453;2021-12-08T11:06:48;Object-based methodical;68163;SSS;32629;39219;Horizontal paradigm Paradigm;CANCELLED;Sleek;ivory open-source back;array Small;withdrawal Salad Dakota;true;97912;2021-12-08T03:54:43;2021-12-08T03:53:18;Refined;true;true;A;76781;Delaware;circuit Card;2021-12-08T02:20:05;HEATH;Sports sensor;Automotive Granite primary;81436;2021-12-08T11:27:33;2021-12-08T00:06:49;Senior;Small solution;e-tailers Wyoming Guilder;generating Bedfordshire Sausages;payment Borders;Awesome haptic;2021-12-08T02:25:40;Namibia;2021-12-07T20:46:00;olive Liaison Republic
5;7040;Tuna state USB;26895;90781;2021-12-08T14:42:38;Integration;21109;MONTHLY;88730;93271;Oregon Principal Key;OPEN;indexing array enable;Facilitator synthesizing;Central;compressing Prairie Baby;false;18422;2021-12-08T06:22:48;2021-12-08T13:34:53;orange Wooden Guarani;true;false;A;90980;pricing Investor;innovative;2021-12-07T19:16:56;LIFE;primary;microchip;75909;2021-12-07T19:52:54;2021-12-07T21:20:59;program Ball applications;Developer Haven;Soft;Rubber Innovative;Mandatory customized;Small Isle;2021-12-08T02:20:00;Accounts Strategist;2021-12-08T04:02:08;Loan Checking
6;93418;overriding one-to-one;78317;4690;2021-12-08T12:14:36;CFA;37505;MONTHLY;76401;11280;payment;CLOSED;Cotton;solution-oriented deposit Applications;Azerbaijan;Malawi;true;38986;2021-12-08T14:08:33;2021-12-07T23:37:09;Dale;true;false;C;78483;enterprise deposit;payment Suriname methodology;2021-12-08T11:36:18;LIFE;Innovative Bedfordshire New;User Orchestrator copying;60083;2021-12-07T18:58:15;2021-12-07T15:07:33;Assimilated Macao Small;Ruble;PNG;navigate;Guam;Slovenia metrics;2021-12-08T13:39:37;human-resource;2021-12-07T20:59:53;Generic Kentucky
7;2708;Handmade Business-focused;38904;12682;2021-12-08T11:01:12;Circle Engineer Forward;505;SSS;6117;1276;Reactive redundant;CANCELLED;South SCSI Lebanon;programming;Engineer Isle;Frozen transmitting Intranet;false;24121;2021-12-08T01:58:27;2021-12-07T20:52:57;communities Heard;true;false;C;69948;Euro;Shirt TCP;2021-12-07T22:39:11;MOTAR;Bike;Organic;29015;2021-12-08T05:44:15;2021-12-08T04:12:28;Gorgeous brand;Car Books PNG;microchip;application USB;Franc complexity Salad;Ville compressing Plastic;2021-12-07T19:14:52;Music Corporate Forward;2021-12-07T15:36:10;Nebraska input
8;64965;Investor Soft Configuration;55035;7184;2021-12-07T20:50:47;synthesize;76721;YEARLY;68731;58983;system;INFORCE;Cotton;cross-platform panel;Mobility Gorgeous Communications;Virginia Sports parsing;true;67428;2021-12-07T19:00:01;2021-12-07T15:57:49;maximize;false;true;B;14989;Representative;Senior withdrawal;2021-12-07T20:29:54;HEATH;Internal Mouse;niches;3740;2021-12-08T09:30:45;2021-12-08T00:22:43;bandwidth-monitored Underpass;Turnpike Account Right-sized;e-enable frictionless;Tasty;conglomeration EXE grow;FTP;2021-12-08T12:42:51;Dinar bus;2021-12-08T02:37:44;red
9;90903;Tactics invoice back-end;13852;13839;2021-12-08T13:45:11;application Infrastructure Rubber;84829;QLY;95122;59694;Forward override alarm;MATURED;Account Bike;Grove Ergonomic Future;artificial Group Directives;CSS drive Sleek;true;61811;2021-12-08T01:00:38;2021-12-08T06:19:58;contextually-based Unbranded Cote;false;true;A;87162;Manager Croatia;Account;2021-12-07T21:04:33;HEATH;Highway;Lempira;97091;2021-12-07T23:10:30;2021-12-08T07:50:10;Cove Metrics;interface;system-worthy parse redefine;Engineer system;knowledge product Garden;Orchestrator Gloves Mauritania;2021-12-07T16:13:30;Carolina;2021-12-08T03:33:55;Avon Maine Nakfa
10;80261;Metal Costa;60114;9531;2021-12-07T23:51:52;Frozen value-added;36783;HLY;81227;93552;Spring;OPEN;hack definition;3rd Neck;Senior generation 1080p;SMTP Keyboard Wooden;false;85332;2021-12-07T18:36:12;2021-12-08T07:57:40;Carolina Borders Wooden;false;false;B;80159;transmitting;Computer;2021-12-08T11:54:18;LIFE;Beauty withdrawal Gorgeous;Licensed back-end Borders;52903;2021-12-08T04:43:48;2021-12-08T09:41:23;client-driven;SCSI;(Malvinas);Chair matrices;Self-enabling azure;Steel driver;2021-12-08T01:22:08;Unbranded;2021-12-08T04:25:42;virtual
